Muestra;Estacion;MuestraNew;X;Y;Z;Formacion Geologica;Unidad;Litologia;Abreviacion;Uni-Lito;Agua [%];Porosidad [%];Densidad [gr/cm3];Rho Dry [Ohm*m];Rho Wet [Ohm*m];M Dry [mV/V];M Wet [mV/V];Vp [m/s];Peak Load [kN];Is50 [MPa];LF [SI];HF [SI];FD [%];Distancia Falla [m];
LS1;LSS-01;LSS-01a;1104424.00;1238243.00;1309.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];0.55;1.37;2.64;11010.60;8444.46;4.01;5.23;3955.00;3.72;2.78;1.83E-04;1.61E-04;11.73;252.62;
LS1b;LSS-01;LSS-01b;1104424.00;1238243.00;1309.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];0.33;2.45;2.69;10145.14;9444.46;2.74;5.84;1427.00;5.32;4.33;1.03E-04;9.35E-05;9.42;252.62;
LS1-01-01;LSS-02;LSS-02;1101869.57;1246232.58;1083.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];19.87;21.76;2.54;35752.28;189.73;11.37;6.52;2147.00;1.82;1.37;1.26E-05;9.97E-06;20.87;572.59;
LS1-02-01;LSS-03;LSS-03a;1101531.18;1246087.94;1075.00;Fm. Rosablanca;K1r;arenisca;Ar;K1r [Ar];5.07;9.03;2.66;818754.45;3634.26;27.38;5.78;861.00;8.12;4.06;1.81E-04;1.56E-04;13.73;436.41;
LS1-02-01b;LSS-03;LSS-03b;1101531.18;1246087.94;1075.00;Fm. Rosablanca;K1r;arenisca;Ar;K1r [Ar];5.38;11.62;2.65;1395098.84;5522.10;67.07;6.79;1934.00;7.22;2.57;6.73E-05;8.82E-05;-30.90;436.41;
LS1-03-01;LSS-04;LSS-04a;1102311.26;1244211.09;1146.00;Fm. Rosablanca;K1r;arenisca;Ar;K1r [Ar];7.78;15.06;2.67;612851.28;550.71;17.13;4.94;2816.00;4.92;2.84;7.06E-05;6.85E-05;3.03;514.53;
LS1-03-01b;LSS-04;LSS-04b;1102311.26;1244211.09;1146.00;Fm. Rosablanca;K1r;arenisca;Ar;K1r [Ar];8.86;13.40;2.76;589378.17;411.71;18.65;3.07;1091.00;2.22;1.79;3.35E-04;3.24E-04;3.23;514.53;
LS1-04-01;LSS-05;LSS-05;1102620.44;1243795.70;1147.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.44;0.46;2.66;2631.56;1409.05;2.69;6.66;5007.00;12.92;4.90;5.85E-05;6.90E-05;-18.00;273.42;
LS1-05-01;LSS-06;LSS-06a;1103010.33;1243469.20;1130.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];0.58;1.11;2.60;972.64;529.38;1.67;2.50;2922.00;10.82;5.66;4.06E-05;3.12E-05;23.25;123.73;
LS1-05-02;LSS-06;LSS-06b;1103010.33;1243469.20;1130.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];1.20;0.74;2.60;516.59;302.35;2.75;4.36;3440.00;7.72;3.92;5.84E-05;6.13E-05;-4.95;123.73;
LS1-05-02b;LSS-06;LSS-06c;1103010.33;1243469.20;1130.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];2.63;3.02;2.61;433.39;143.92;2.06;4.12;1315.00;1.12;0.90;7.45E-05;7.92E-05;-6.20;123.73;
LS1-06-01;LSS-07;LSS-07a;1103331.80;1243580.93;1136.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];0.65;0.19;2.68;37768.18;13122.12;8.46;8.14;2817.00;8.02;3.62;4.54E-04;4.57E-04;-0.63;310.50;
LS1-06-01b;LSS-07;LSS-07b;1103331.80;1243580.93;1136.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];0.43;0.48;2.67;40224.75;12113.09;7.89;7.80;3562.00;5.92;2.95;4.59E-04;4.36E-04;5.04;310.50;
LS1-06-02;LSS-07;LSS-07c;1103331.80;1243580.93;1136.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.13;2.26;2.70;86769.46;37015.69;3.23;3.65;4857.00;4.02;3.23;2.54E-04;2.35E-04;7.34;310.50;
LS1-06-02b;LSS-07;LSS-07d;1103331.80;1243580.93;1136.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.12;5.00;2.72;87222.62;18133.93;7.61;5.13;5076.00;3.72;2.99;3.27E-04;3.10E-04;5.26;310.50;
LS1-07-01;LSS-08;LSS-08a;1106150.25;1240278.30;1305.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.08;2.67;2.71;38115.28;25584.99;29.27;27.21;2821.00;7.22;3.61;1.39E-04;1.20E-04;13.94;240.86;
LS1-07-01b;LSS-08;LSS-08b;1106150.25;1240278.30;1305.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.55;8.50;2.70;14239.50;11194.38;2.14;2.68;4539.00;4.12;3.32;2.06E-04;1.92E-04;6.64;240.86;
LS1-07-02;LSS-08;LSS-08c;1106150.25;1240278.30;1305.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.35;2.51;2.69;19186.70;17060.83;3.72;2.15;4012.00;6.42;2.30;2.07E-04;1.97E-04;4.92;240.86;
LS1-08-01;LSS-09;LSS-09a;1106119.08;1240293.09;1288.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.36;0.12;2.69;19272.17;6645.53;3.90;4.79;4944.00;11.12;5.91;1.26E-04;1.24E-04;1.95;263.18;
LS1-08-01b;LSS-09;LSS-09b;1106119.08;1240293.09;1288.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.27;4.19;2.66;15186.70;13060.83;3.27;3.52;4798.00;6.32;5.10;9.05E-05;8.93E-05;1.31;263.18;
LS1-09-01;LSS-10;LSS-10;1106212.48;1239560.56;1274.00;Fm. Rosablanca;K1r;arenisca calcarea;Ac;K1r [Ac];1.01;1.88;2.63;16412.50;1069.68;7.31;7.33;2837.00;6.72;2.53;6.17E-05;5.33E-05;13.50;0.02;
LS1-10-01;LSS-11;LSS-11;1106732.03;1239074.16;1274.00;Fm. Rosablanca;K1r;lodo calcareo;Lc;K1r [Lc];0.56;0.74;2.68;122772.72;17385.51;21.07;5.87;4500.00;4.72;2.32;1.34E-04;1.19E-04;11.16;50.76;
LS1-11-01;LSS-12;LSS-12;1105455.21;1242654.81;1200.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];2.87;2.54;2.57;27794.60;2102.90;3.53;7.54;2831.00;8.62;4.25;5.23E-06;1.29E-06;75.22;188.95;
LS1-12-01;LSS-13;LSS-13;1105454.20;1242659.38;1200.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.83;5.26;2.62;55924.18;1351.22;8.09;22.91;3637.00;6.22;2.20;5.00E-06;6.29E-06;-25.67;187.52;
LS1-13-01;LSS-14;LSS-14;1105609.13;1242455.38;1229.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];2.77;4.94;2.61;29712.23;517.25;6.83;8.98;2826.00;6.82;3.58;4.45E-06;5.62E-06;-26.37;364.37;
LS1-14-01;LSS-15;LSS-15a;1105584.28;1242026.85;1200.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];2.92;1.77;2.59;70208.40;1225.67;11.75;15.83;4084.00;12.02;7.01;3.14E-06;4.94E-06;-57.51;130.16;
LS1-14-01b;LSS-15;LSS-15b;1105584.28;1242026.85;1200.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.64;4.28;2.59;95492.64;610.78;11.19;13.17;4279.00;4.62;2.04;9.57E-06;9.53E-06;0.34;130.16;
LS1-15-01;LSS-16;LSS-16;1106042.32;1241446.25;1227.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];1.86;3.28;2.61;11655.94;561.06;3.30;14.85;3179.00;4.42;2.81;2.32E-06;1.33E-06;42.83;123.54;
LS2-01-01;LSS-17;LSS-17a;1105631.60;1245853.74;1445.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.13;5.30;2.61;10938.75;370.96;5.20;7.01;2536.00;5.42;1.88;1.20E-05;2.64E-06;78.06;284.93;
LS2-01-01b;LSS-17;LSS-17b;1105631.60;1245853.74;1445.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.36;6.10;2.62;14015.64;306.93;4.67;5.61;2313.00;4.22;1.85;1.53E-05;2.04E-05;-32.69;284.93;
LS2-02-01;LSS-18;LSS-18a;1105360.96;1246203.34;1363.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.84;5.26;2.63;184555.83;1176.64;12.78;17.48;3960.00;6.22;2.17;1.41E-05;1.35E-06;90.42;712.11;
LS2-02-01b;LSS-18;LSS-18b;1105360.96;1246203.34;1363.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.60;5.44;2.63;301849.84;993.59;14.31;15.05;1704.00;7.02;2.71;2.74E-05;3.42E-05;-24.83;712.11;
LS2-03-01;LSS-19;LSS-19a;1103217.64;1245683.03;1129.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];26.82;21.04;2.60;39023.52;112.42;9.61;4.41;2959.00;1.52;0.69;9.61E-08;1.88E-08;80.44;212.75;
LS2-03-01b;LSS-19;LSS-19b;1103217.64;1245683.03;1129.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];27.77;21.26;2.55;29023.52;92.42;10.03;3.80;2722.00;0.42;0.34;1.21E-05;1.74E-05;-43.63;212.75;
LS2-04-01;LSS-20;LSS-20a;1102677.88;1245568.34;1127.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];0.44;1.31;2.67;3610.81;1810.29;3.40;3.60;845.00;6.22;2.18;2.08E-04;2.00E-04;3.74;0.20;
LS2-04-01b;LSS-20;LSS-20b;1102677.88;1245568.34;1127.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];0.46;2.15;2.65;4834.80;3216.30;1.83;2.85;1001.00;6.62;5.39;1.64E-04;1.60E-04;2.74;0.20;
LS2-05-01;LSS-21;LSS-21;1100916.85;1243639.17;1069.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];3.14;4.91;2.62;9449.68;808.19;2.62;7.13;3668.00;3.72;1.27;1.54E-04;1.43E-04;7.30;129.80;
LS2-06-01;LSS-22;LSS-22;1100292.42;1243696.33;1016.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.33;1.84;2.68;95645.82;5011.72;5.28;7.83;3459.00;3.22;1.10;3.84E-05;2.70E-05;29.57;88.66;
LS2-07-01;LSS-23;LSS-23;1099120.06;1243545.79;897.00;Fm. Paja;K1p;lodo calcareo;Lc;K1p [Lc];5.69;5.98;2.59;2392.20;235.48;4.40;7.77;3473.00;3.62;1.26;8.82E-05;8.44E-05;4.38;0.25;
LS2-08-01;LSS-24;LSS-24;1098676.62;1243123.62;829.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.60;1.15;2.68;9726.46;5401.35;6.12;7.87;3849.00;5.62;1.98;1.88E-04;1.55E-04;17.67;253.06;
LS2-09-01;LSS-25;LSS-25a;1098421.74;1242837.88;788.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];0.94;0.50;2.61;11429.69;2093.99;8.55;5.07;3321.00;6.12;2.13;1.59E-04;1.24E-04;22.20;172.29;
LS2-09-01b;LSS-25;LSS-25b;1098421.74;1242837.88;788.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];0.80;0.00;2.61;10849.19;2435.21;5.35;4.92;1770.00;6.22;5.04;2.49E-04;2.05E-04;17.93;172.29;
LS2-11-01;LSS-26;LSS-26;1102817.86;1242330.66;1173.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];1.55;1.53;2.68;16935.29;3131.84;5.41;8.84;3708.00;7.22;2.74;7.14E-05;8.91E-05;-24.73;0.15;
LS2-12-01;LSS-27;LSS-27a;1101844.00;1240416.96;1295.00;Fm. Paja;K1p;caliza;Ca;K1p [Ca];0.94;1.71;2.64;49059.33;4810.74;3.89;5;4781.00;8.12;3.25;4.95E-05;4.80E-05;2.95;529.00;
LS2-12-01b;LSS-27;LSS-27b;1101844.00;1240416.96;1295.00;Fm. Paja;K1p;caliza;Ca;K1p [Ca];0.84;3.00;2.66;17911.36;3610.62;2.15;7.24;4824.00;3.92;3.16;4.54E-05;3.61E-05;20.51;529.00;
LS2-13-01;LSS-28;LSS-28;1100125.04;1240466.32;1065.00;Fm. Paja;K1p;lodo calcareo;Lc;K1p [Lc];4.52;1.56;2.48;8737.69;994.62;5.68;4.80;3241.00;3.12;1.63;7.45E-05;7.42E-05;0.36;396.44;
LS2-14-01;LSS-29;LSS-29a;1099992.70;1240364.52;1033.00;Fm. Paja;K1p;lodo calcareo;Lc;K1p [Lc];2.40;1.61;2.57;6042.39;295.81;11.46;5.33;3943.00;4.32;1.55;1.05E-04;7.56E-05;28.00;351.22;
LS2-14-01b;LSS-29;LSS-29b;1099992.70;1240364.52;1033.00;Fm. Paja;K1p;lodo calcareo;Lc;K1p [Lc];0.81;1.12;2.63;1342.88;833.29;1.67;2.56;3568.00;3.72;3.02;2.38E-04;2.33E-04;1.98;351.22;
LS2-PC-01;LSS-30;LSS-30;1100299.52;1240380.12;1083.00;Fm. Paja;K1p;lodo calcareo;Lc;K1p [Lc];0.90;1.18;2.68;42893.73;6205.22;9.35;5.36;4513.00;7.02;2.94;1.03E-04;9.07E-05;11.98;321.97;
LS3-01-01;LSS-31;LSS-31a;1107287.17;1246076.16;1604.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.99;5.12;2.63;89461.75;713.35;9.61;10.77;1545.00;3.52;1.17;3.42E-07;4.68E-07;-36.96;32.07;
LS3-01-01b;LSS-31;LSS-31b;1107287.17;1246076.16;1604.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.94;7.45;2.61;281539.34;625.68;12.16;8.35;1597.00;4.32;2.71;2.20E-08;4.35E-08;-97.94;32.07;
LS3-04-01;LSS-32;LSS-32a;1107365.45;1246252.27;1638.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];7.14;13.58;2.62;23412.44;371.85;5.36;17.45;1503.00;0.42;0.14;1.29E-05;1.36E-05;-5.06;149.64;
LS3-04-01b;LSS-32;LSS-32b;1107365.45;1246252.27;1638.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];10.50;13.68;2.64;53367.30;545.41;4.42;15.85;1823.00;1.32;0.47;1.08E-05;4.23E-06;60.88;149.64;
LS3-06-02;LSS-33;LSS-33a;1108237.92;1238952.98;1355.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];0.95;0.06;2.64;5382.92;1553.53;13.68;10.49;5294.00;3.52;1.13;2.64E-04;2.45E-04;7.01;258.14;
LS3-06-02b;LSS-33;LSS-33b;1108237.92;1238952.98;1355.00;Fm. Rosablanca;K1r;caliza;Ca;K1r [Ca];1.71;3.49;2.60;2543.99;473.27;6.95;8.90;4061.00;8.82;3.03;3.92E-04;3.22E-04;17.89;258.14;
LS3-07-01;LSS-34;LSS-34a;1108288.95;1239060.92;1376.00;Fm. Rosablanca;K1r;lodo calcareo;Lc;K1r [Lc];2.41;1.83;2.78;501.93;141.46;1.73;3.68;3013.00;7.82;2.80;8.31E-05;6.73E-05;19.01;168.08;
LS3-07-01b;LSS-34;LSS-34b;1108288.95;1239060.92;1376.00;Fm. Rosablanca;K1r;lodo calcareo;Lc;K1r [Lc];2.72;2.81;2.58;433.94;126.77;2.52;4.58;3950.00;5.02;3.11;5.12E-05;4.24E-05;17.15;168.08;
LS3-11-01;LSS-35;LSS-35a;1108746.87;1239054.53;1427.00;Fm. Rosablanca;K1r;lodo calcareo;Lc;K1r [Lc];0.97;0.57;2.64;1771.36;1005.16;2.22;2.83;4769.00;6.82;2.20;3.39E-04;3.18E-04;6.13;400.67;
LS3-11-01b;LSS-35;LSS-35b;1108746.87;1239054.53;1427.00;Fm. Rosablanca;K1r;lodo calcareo;Lc;K1r [Lc];0.63;0.87;2.64;2717.61;952.88;2.41;3.14;4499.00;4.92;3.09;3.34E-04;2.81E-04;15.92;400.67;
LS3-12-01;LSS-36;LSS-36;1109577.65;1241228.24;1588.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];5.65;9.98;2.64;165891.06;543.84;10.96;9.70;2497.00;0.72;0.26;1.12E-05;2.03E-05;-80.66;433.44;
LS4-01-01;LSS-37;LSS-37;1109373.95;1241750.62;1613.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.24;16.28;2.64;69611.62;643.84;15.45;8.70;1997.00;0.62;0.21;5.88E-06;1.55E-06;73.57;0.18;
LS4-02-01;LSS-38;LSS-38;1109408.61;1242475.75;1669.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.84;8.91;2.62;131111.59;726.31;14.94;4.75;3141.00;12.92;6.04;3.04E-06;2.32E-06;23.56;310.11;
LS4-03-01;LSS-39;LSS-39;1108010.09;1243616.04;1667.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];4.04;5.77;2.63;71051.37;222.22;11.71;7.56;3288.00;6.72;2.36;6.51E-07;4.04E-07;37.91;982.97;
LS4-04-01;LSS-40;LSS-40;1107074.64;1243480.22;1603.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];5.91;7.12;2.64;215718.70;505.80;13.75;11.60;3949.00;4.12;1.30;3.14E-07;5.99E-07;-90.68;1094.58;
LS4-06-01;LSS-41;LSS-41a;1106473.27;1243617.84;1534.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];4.10;7.59;2.63;278506.69;1252.46;8.64;13.03;3816.00;3.82;1.24;2.92E-06;1.37E-06;53.07;809.60;
LS4-06-01b;LSS-41;LSS-41b;1106473.27;1243617.84;1534.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.63;6.81;2.63;132129.75;948.48;5.48;10.36;3755.00;4.82;1.58;4.97E-06;1.16E-06;76.60;809.60;
LS4-12-01;LSS-42;LSS-42;1108010.80;1244487.58;1675.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];2.84;7.26;2.65;4707.74;165.35;2.60;13.70;2624.00;2.32;0.76;1.02E-05;8.11E-06;20.39;369.44;
LS4-14-01;LSS-43;LSS-43a;1108413.14;1244914.45;1650.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];6.71;8.16;2.64;307703.05;719.02;13.35;11.56;1956.00;2.12;0.69;3.62E-06;2.05E-06;43.33;0.07;
LS4-14-01b;LSS-43;LSS-43b;1108413.14;1244914.45;1650.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];5.47;7.75;2.58;84271.86;862.70;6.44;9.31;2142.00;3.52;2.22;5.68E-06;1.25E-06;78.06;0.07;
LS4-17-01;LSS-44;LSS-44a;1108589.39;1245474.21;1701.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.32;6.94;2.62;1754373.31;1061.59;48.45;9.35;2491.00;6.12;1.96;7.63E-06;9.28E-06;-21.58;478.54;
LS4-17-01b;LSS-44;LSS-44b;1108589.39;1245474.21;1701.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.72;7.54;2.62;157792.29;288.28;8.85;4.91;1200.00;3.52;2.21;1.63E-06;1.17E-06;28.34;478.54;
LS4-18-01;LSS-45;LSS-45;1110764.64;1244062.69;1660.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.94;9.08;2.63;308869.64;1379.77;6.48;3.40;3817.00;12.52;4.04;3.04E-06;5.11E-06;-68.25;338.39;
LS4-19-01;LSS-46;LSS-46;1109410.57;1245488.11;1681.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.11;14.86;2.64;8288.11;115.13;4.78;7.47;1575.00;0.22;0.14;5.55E-06;1.31E-06;76.37;509.99;
LS4-21-01;LSS-47;LSS-47a;1109326.40;1245961.58;1658.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];4.12;7.00;2.62;51212.1;590.1;9.53;13.33;3612.00;3.12;1.45;6.95E-06;8.55E-06;-23.07;247.89;
LS4-21-01b;LSS-47;LSS-47b;1109326.40;1245961.58;1658.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];3.95;6.56;2.64;187115.72;1364.94;10.63;14.87;3649.00;3.32;1.32;3.52E-06;7.83E-07;77.77;247.89;
LS5-01-01;LSS-48;LSS-48a;1103845.55;1246352.62;1122.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];1.70;7.46;2.63;463241.77;2418.57;18.37;15.53;3210.00;9.42;2.89;6.36E-06;2.18E-06;65.71;218.33;
LS5-01-01b;LSS-48;LSS-48b;1103845.55;1246352.62;1122.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];2.20;11.60;2.57;33321.09;1953.93;4.12;11.59;2020.00;4.62;2.86;4.33E-06;6.28E-06;-45.06;218.33;
LS5-02-01;LSS-49;LSS-49;1102828.94;1247249.91;1045.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];5.43;11.99;2.64;1251.52;68.89;5.05;6.21;3389.00;4.72;2.20;5.82E-05;5.26E-05;9.68;322.07;
LS5-03-01;LSS-50;LSS-50;1100682.97;1245715.33;1062.00;Fm. Rosablanca;K1r;arenisca;Ar;K1r [Ar];4.35;8.69;2.66;2582162.39;1523.14;84.69;5.16;2001.00;7.82;2.38;1.61E-05;1.12E-05;30.74;118.09;
LS5-04-01;LSS-51;LSS-51;1104154.90;1241372.42;1234.00;Fm. Rosablanca;K1r;biomicrita;Bm;K1r [Bm];0.86;0.79;2.66;2067.04;768.62;5.69;10.29;3583.00;11.12;3.43;6.99E-05;9.05E-05;-29.40;301.39;
LS5-05-01;LSS-52;LSS-52a;1103015.67;1240579.45;1278.00;Fm. Paja;K1p;lodo calcareo;Lc;K1p [Lc];3.67;3.34;2.61;113938.02;800.63;5.91;4.54;4111.00;6.02;1.94;1.02E-04;8.72E-05;14.60;842.50;
LS5-05-01b;LSS-52;LSS-52b;1103015.67;1240579.45;1278.00;Fm. Paja;K1p;lodo calcareo;Lc;K1p [Lc];3.84;2.38;2.57;15257.22;664.40;4.89;4.56;3999.00;2.82;1.75;1.07E-04;9.74E-05;9.31;842.50;
LS5-06-01;LSS-53;LSS-53;1101615.45;1241174.80;1272.00;Fm. Tablazo;K1t;biomicrita;Bm;K1t [Bm];0.30;0.74;2.68;297345.86;20440.74;10.51;3.33;5348.00;7.62;2.44;2.35E-05;3.54E-05;-50.40;1118.32;
LS5-07-01;LSS-54;LSS-54;1101022.97;1242413.54;1225.00;Fm. Tablazo;K1t;biomicrita;Bm;K1t [Bm];0.76;1.74;2.69;91121.52;5592.77;3.08;13.00;3875.00;9.62;3.98;2.10E-05;5.74E-06;72.67;78.43;
LS5-08-01;LSS-55;LSS-55;1098792.84;1242406.13;923.00;Fm. Paja;K1p;lodo calcareo;Lc;K1p [Lc];0.29;1.27;2.00;8060.75;192.48;3.25;3.36;4071.00;5.92;2.59;1.03E-04;8.22E-05;19.90;52.11;
LS5-09-01;LSS-56;LSS-56a;1099616.07;1240997.17;1127.00;Fm. Paja;K1p;biomicrita;Bm;K1p [Bm];8.74;11.70;2.90;45763.08;764.22;10.78;5.43;4711.00;7.02;2.46;4.04E-04;4.13E-04;-2.29;291.46;
LS5-09-01b;LSS-56;LSS-56b;1099616.07;1240997.17;1127.00;Fm. Paja;K1p;biomicrita;Bm;K1p [Bm];29.59;10.57;2.81;76532.99;2836.10;10.83;4.51;4908.00;5.02;3.14;2.86E-04;2.91E-04;-1.68;291.46;
LS5-10-01;LSS-57;LSS-57;1100729.20;1240235.66;1115.00;Fm. Paja;K1p;arenisca calcarea;Ac;K1p [Ac];1.49;2.39;2.64;1391.68;275.78;3.47;5.83;2775.00;6.32;2.04;7.55E-05;8.87E-05;-17.47;48.63;
Ls5-11;LSS-58;LSS-58;1111407.79;1244998.87;1644.00;Fm. Los Santos;K1ls_ms;arenisca;Ar;K1ls_ms [Ar];6.03;8.87;2.65;1034276.27;775.63;31.67;12.72;2197.00;2.22;0.68;3.71E-06;6.42E-06;-73.29;714.26;
